82,82,82,82,82,82,85,85,85,85,85,85,85,85,85,85
91,91,91,91,91,91,92,92,92,92,92,92,92,92,92,92
86,86,86,86,86,86,86,88,88,88,88,88,88,88,88,88
94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94
93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93
87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84
83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83
121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121
90,90,90,90,90,90,90,90,89,89,89,89,89,89,89,89
122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122
107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107
106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106
97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97
95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117
106,106,106,106,106,117,97,108,96,96,96,96,96,96,96,96
106,106,106,106,106,117,97,96,96,96,96,96,96,96,96,96
106,106,106,106,106,117,97,108,108,108,108,108,108,108,108,108
106,106,106,106,106,117,96,96,96,96,96,96,96,96,96,96
106,106,106,106,106,117,98,98,98,98,98,98,98,98,98,98
