0,4097,0,0
0,2047,0,0
4096,6143,0,0
6144,8191,0,0
8192,10239,0,0
10240,11263,0,0
11264,12287,0,0
12288,13311,0,0
13312,14335,0,0
14336,15359,0,0
15360,16383,0,0
16384,17407,0,0
17408,18431,0,0
18432,19455,0,0
19456,20479,0,0
20480,21503,0,0
21504,22527,0,0
22528,23551,0,0
23552,24575,0,0
24576,25599,0,0
25600,26623,0,0
26624,27647,0,0
27648,28671,0,0
28672,29695,0,0
29696,30719,0,0
30720,31743,0,0
31744,32767,0,0
32768,33791,0,0
33792,34815,0,0
34816,35839,0,0
35840,36863,0,0
36864,37887,0,0
37888,38911,0,0
38912,39935,0,0
39936,40959,0,0
40960,41983,0,0
41984,42495,0,0
42496,43007,0,0
43008,43519,0,0
43520,44031,0,0
44032,44543,0,0
44544,45055,0,0
45056,45567,0,0
45568,46079,0,0
46080,46591,0,0
46592,47103,0,0
47104,47615,0,0
47616,48127,0,0
48128,48639,0,0
48640,49151,0,0
49152,49663,0,0
49664,50175,0,0
50176,50687,0,0
50688,51199,0,0
51200,51711,0,0
51712,52223,0,0
52224,52735,0,0
52736,53247,0,0
53248,53759,0,0
53760,54271,0,0
54272,54783,0,0
54784,55295,0,0
55296,55807,0,0
55808,56319,0,0
56320,56831,0,0
56832,57343,0,0
57344,57855,0,0
57856,58367,0,0
58368,58879,0,0
58880,59391,0,0
59392,59903,0,0
59904,60415,0,0
60416,60927,0,0
60928,61439,0,0
61440,61951,0,0
61952,62463,0,0
62464,62975,0,0
62976,63487,0,0
63488,63999,0,0
64000,64511,0,0
64512,65023,0,0
65024,65535,0,0
65536,75711,-36,0
75776,77759,-32,-68
77824,81855,-51,-4
81920,98239,-36,0
98304,110527,-29,48
110592,114671,-32,-88
114688,126911,-36,48
126976,131007,-24,0
131072,139199,-18,48
139264,143295,-7,28
143360,147391,-12,0
147456,155583,-12,0
155648,163775,-24,0
163840,171967,-55,60
163840,171967,-67,60
172032,180159,-35,0
172032,180159,-43,0
180224,188415,-28,76
188416,196607,-40,0
196608,204799,-36,0
204800,212991,-36,0
212992,221183,-24,0
221184,225279,9,-106
225280,229375,9,-106
229376,233407,-7,0
233472,237503,0,0
233472,237503,-24,0
237568,238591,0,0
238592,239615,0,0
239616,240639,0,0
240640,241663,0,0
241664,242687,0,0
242688,243711,0,0
243712,244735,0,0
244736,245759,0,0
245760,248815,-9,0
248832,249343,0,0
249344,249855,0,0
249856,250879,0,0
250880,251871,-24,0
251904,253887,-24,0
253952,254207,0,0
254208,254463,0,0
254464,254975,0,0
254976,255487,0,0
255488,255999,0,0
256000,256255,0,0
256256,256511,0,0
256512,257023,0,0
257024,257535,0,0
257536,258047,0,0
258048,258559,0,0
258560,259071,0,0
259072,259583,0,0
259584,260095,0,0
260096,260607,0,0
260608,261119,0,0
261120,261631,0,0
261632,262143,0,0
26624,27647,84,0
26624,27647,72,0
26624,27647,67,0
26624,27647,60,0
26624,27647,48,0
26624,27647,43,0
26624,27647,36,0
26624,27647,24,0
26624,27647,19,0
26624,27647,12,0
